Date,Agriculture,Forestry and Logging,"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Mining,"Food, Beverage and Tobacco Product Manufacturing","Textile, Leather, Clothing and Footwear Manufacturing",Wood and Paper Products Manufacturing,Printing,"Petroleum, Chemical, Polymer and Rubber Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,"Transport Equipment, Machinery and Equipment Manufacturing",Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services",Owner-Occupied Property Operation (National Accounts Only),"Professional, Scientific and Technical Services",Administrative and Support Services,Local Government Administration,"Central Government Administration, Defence and Public Safety",Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Unallocated,Total All Industries
1987Q2,1239,137,178,582,1183,361,365,216,729,180,544,934,180,1147,1562,1526,1150,663,908,430,1487,1765,1975,1805,485,193,1194,1380,1297,319,466,1755,25846
1987Q3,1409,104,244,457,921,351,380,222,703,191,561,953,198,1193,1666,1487,1157,679,965,448,1500,1800,1997,1882,503,193,1189,1383,1280,328,468,1806,25954
1987Q4,2196,121,200,655,1172,283,393,236,706,197,537,933,204,1080,1689,1457,1254,753,1057,456,1501,1767,1998,1890,518,199,1175,1387,1282,341,490,1907,27223
1988Q1,1950,154,186,591,1236,284,335,204,708,159,494,822,167,1048,1581,1553,1120,670,1040,446,1478,1735,1978,1882,521,199,1173,1393,1260,342,454,1690,26355
1988Q2,1316,169,205,677,1201,307,368,214,695,189,547,866,173,1106,1545,1440,1108,623,1024,447,1442,1762,1946,1936,533,208,1174,1401,1327,335,444,1683,25946
1988Q3,1391,119,296,596,936,313,367,216,733,171,579,920,183,1167,1552,1491,1147,634,1059,450,1436,1762,1916,1910,531,211,1148,1409,1324,317,455,1754,25915
1988Q4,1928,144,224,439,1197,292,352,220,774,169,541,860,182,1094,1556,1625,1244,711,1093,456,1462,1780,1888,1901,531,218,1143,1419,1338,315,468,1836,26881
1989Q1,1623,203,232,595,1195,281,322,201,795,148,531,815,144,1026,1452,1690,1125,649,1025,457,1455,1765,1862,1949,544,220,1148,1431,1362,334,457,1800,26327
1989Q2,1083,189,217,522,1066,325,351,213,790,172,564,913,166,1154,1654,1640,1196,620,1003,471,1400,1809,1840,1967,539,230,1167,1444,1333,319,466,1873,26087
1989Q3,1207,135,300,542,887,317,361,198,782,153,583,901,169,1219,1601,1545,1120,629,1002,474,1370,1812,1833,1961,529,229,1194,1456,1336,317,461,1838,25756
1989Q4,1804,158,224,448,1170,283,367,213,830,160,569,875,176,1074,1662,1662,1232,695,1062,484,1370,1812,1837,1912,519,233,1185,1467,1353,304,469,1935,26985
